rowid,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
18315,PHL,Philippines,AGUS 1,WRI1001957,80.0,8.0046,124.2868,Hydro,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,GEODB,1023463,,,,,,,,,,249.0,294.22,202.59,249.44,294.89,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
18316,PHL,Philippines,AGUS 2,WRI1001958,180.0,8.0528,124.2709,Hydro,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,GEODB,1023464,,,,,,,,,,496.13,598.69,404.5,513.8,602.53,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
18317,PHL,Philippines,AGUS 4,WRI1001959,158.1,8.1336,124.1983,Hydro,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,GEODB,1023466,,,,,,,,,,435.77,525.85,355.28,451.28,529.22,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
18318,PHL,Philippines,AGUS 5,WRI1001960,309.0,8.1937,124.1915,Hydro,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,GEODB,,,,,,,,,,,699.04,830.38,644.03,776.63,830.38,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
18319,PHL,Philippines,AMBUKLAO,WRI1001902,105.0,16.4588,120.7452,Hydro,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,GEODB,1023471,,,,,,,,,,291.12,341.11,256.88,310.87,335.9,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
18320,PHL,Philippines,ANGAT,WRI1001900,246.0,14.9098,121.1603,Hydro,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,GEODB,1023474,,,,,,,,,,515.0,619.56,561.56,589.82,619.56,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
18321,PHL,Philippines,Anda,WRI1029959,83.7,15.2342,120.6109,Coal,,,,2016.0,Anda Power Corporation,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,WRI,,,,,,,,,,,,,,,527.43,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18322,PHL,Philippines,Armenia Solar,WRI1029964,8.8,15.4605,120.5918,Solar,,,,2016.0,nv vogt Philippines Solar Energy Four  Inc. (nv vogt 4),Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,WRI,,,,,,,,,,,,,,,15.43,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1
18323,PHL,Philippines,Avion,WRI1029960,100.0,13.7606,121.046,Gas,,,,2016.0,Prime Meridian PowerGen Corp.,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,WRI,1102334,,,,,,,,,,,,,,718.75,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18324,PHL,Philippines,BACMAN,WRI1001889,130.0,13.0547,123.9678,Geothermal,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,GEODB,1023478|1106851,,,,,,,,,,,,,,687.0,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18325,PHL,Philippines,BAJADA DPP,WRI1001966,58.7,7.0731,125.6128,Oil,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,CARMA,,,,,,,,,,,,,,,45.22,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18326,PHL,Philippines,BAKUN,WRI1001904,70.0,16.8861,120.5304,Hydro,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,CARMA,1022084,,,,,,,,,,193.25,240.11,195.13,206.19,242.93,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
18327,PHL,Philippines,BANGUI WIND POWER,WRI1001906,33.0,18.5658,120.7275,Wind,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,CARMA,1056055,,,,,,,,,,,,,,84.53,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18328,PHL,Philippines,BAUANG DPP,WRI1001879,235.2,16.4907,120.3261,Oil,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,GEODB,1010796,,,,,,,,,,,,,,181.2,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18329,PHL,Philippines,BINGA,WRI1001903,132.0,16.3944,120.729,Hydro,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,GEODB,1023482,,,,,,,,,,330.08,439.37,289.83,353.7,394.54,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
18330,PHL,Philippines,BOTOCAN,WRI1001899,22.8,14.1463,121.4729,Hydro,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,CARMA,1023486,,,,,,,,,,57.91,67.39,50.09,62.1,67.39,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
18331,PHL,Philippines,Balingasag power station,WRI1030489,165.0,8.7662,124.7685,Coal,,,,2017.0,Minergy Coal Corporation,GCPT,https://endcoal.org/global-coal-plant-tracker/,WRI,,,,,,,,,,,,,,,1039.74,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18332,PHL,Philippines,Bangui Wind Power Ph3,WRI1001907,18.9,18.5658,120.7275,Wind,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,CARMA,,,,,,,,,,,,,,,48.41,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18333,PHL,Philippines,Burgos,WKS0065263,4.1,18.528,120.6378,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,7.6,7.93,7.26,7.62,7.57,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
18334,PHL,Philippines,CALIBU DPP,WRI1001912,30.0,15.1114,120.6053,Oil,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,CARMA,1064229,,,,,,,,,,,,,,23.11,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18335,PHL,Philippines,CALIRAYA,WRI1001898,35.0,14.2992,121.4705,Hydro,,,,,,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,GEODB,1023490,,,,,,,,,,82.18,101.01,81.93,94.9,104.16,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
