id,seasonYear,season,genres,title.english,title.native,title.romaji
5114,2009,spring,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Military', 'Shounen']",Fullmetal Alchemist: Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,"['Hagane no Renkinjutsushi: Fullmetal Alchemist', 'Fullmetal Alchemist (2009)', 'FMA', 'FMAB']"
11061,2011,fall,"['Action', 'Adventure', 'Fantasy', 'Shounen']",Hunter x Hunter,HUNTER×HUNTER（ハンター×ハンター）,['HxH (2011)']
9253,2011,spring,"['Drama', 'Psychological', 'Sci-Fi', 'Suspense', 'Time Travel']",Steins;Gate,STEINS;GATE,[]
21,1999,fall,"['Action', 'Adventure', 'Fantasy', 'Shounen']",One Piece,ONE PIECE,['OP']
1535,2006,fall,"['Psychological', 'Shounen', 'Supernatural', 'Suspense']",Death Note,デスノート,['DN']
16498,2013,spring,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival']",Attack on Titan,進撃の巨人,"['AoT', 'SnK']"
1575,2006,fall,"['Action', 'Drama', 'Mecha', 'Military', 'School', 'Sci-Fi', 'Super Power']",Code Geass: Lelouch of the Rebellion,コードギアス 反逆のルルーシュ,[]
1735,2007,winter,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Shounen']",Naruto Shippuden,ナルト- 疾風伝,['Naruto Hurricane Chronicles']
30,1995,fall,"['Action', 'Avant Garde', 'Drama', 'Mecha', 'Psychological', 'Sci-Fi']",Neon Genesis Evangelion,新世紀エヴァンゲリオン,['Shinseiki Evangelion']
32281,2016,summer,"['Drama', 'Romantic Subtext', 'Supernatural']",Your Name.,君の名は。,[]
38000,2019,spring,"['Action', 'Fantasy', 'Historical', 'Shounen']",Demon Slayer: Kimetsu no Yaiba,鬼滅の刃,['Blade of Demon Destruction']
23273,2014,fall,"['Drama', 'Music', 'Romance', 'School', 'Shounen']",Your Lie in April,四月は君の嘘,['Kimiuso']
28851,2016,summer,"['Drama', 'Romantic Subtext', 'Shounen']",A Silent Voice,聲の形,['The Shape of Voice']
2001,2007,spring,"['Action', 'Adventure', 'Comedy', 'Mecha', 'Sci-Fi']",Gurren Lagann,天元突破グレンラガン,"['Tengen Toppa Gurren-Lagann', 'Making Break-Through Gurren Lagann', 'Heavenly Breakthrough Gurren Lagann', 'TTGL', 'Gurren Laggan']"
1,1998,spring,"['Action', 'Adult Cast', 'Sci-Fi', 'Space']",Cowboy Bebop,カウボーイビバップ,[]
2904,2008,spring,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Super Power']",Code Geass: Lelouch of the Rebellion R2,コードギアス 反逆のルルーシュ 続編,"['Code Geass: Hangyaku no Lelouch 2nd Season', 'Code Geass: Hangyaku no Lelouch Second Season']"
40748,2020,fall,"['Action', 'Fantasy', 'School', 'Shounen']",Jujutsu Kaisen,呪術廻戦,"['Sorcery Fight', 'JJK']"
20,2002,fall,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Shounen']",Naruto,ナルト,['NARUTO']
20583,2014,spring,"['School', 'Shounen', 'Sports', 'Team Sports']",Haikyu!!,ハイキュー!!,"['High Kyuu!!', 'HQ!!']"
4181,2008,fall,"['Drama', 'Romance', 'Supernatural']",Clannad ~After Story~,CLANNAD〜AFTER STORY〜 クラナド アフターストーリー,[]
11757,2012,summer,"['Action', 'Adventure', 'Fantasy', 'Love Polygon', 'Romance', 'Video Game']",Sword Art Online,ソードアート・オンライン,"['S.A.O', 'SAO']"
