book_id,title,publish_date,genre,rating,num_of_reviews,book_cover,author_id
1,The Silent Hour,11/24/1902,sci-fi,0,0,,61
2,Echoes of the Forgotten,10/5/1956,sci-fi,0,0,,79
3,The Last Key,9/8/1954,fiction,0,0,,96
4,Whispers Through Time,8/17/2014,non-fiction,0,0,,98
5,Shadowed Paths,5/21/1942,fiction,0,0,,23
6,Beneath the Blood Moon,4/25/2010,mystery,0,0,,85
7,The Light Between Worlds,5/13/1903,mystery,0,0,,12
8,The Clockmaker’s Secret,1/29/2013,non-fiction,0,0,,26
9,Midnight at the Edge of the World,10/15/1941,mystery,0,0,,18
10,The Girl Who Spoke to Shadows,3/14/1973,fiction,0,0,,67
11,In the Wake of Giants,10/27/1990,non-fiction,0,0,,22
12,The Forgotten Kingdom,11/17/1947,romance,0,0,,72
13,The Firekeeper’s Daughter,12/26/1915,romance,0,0,,74
14,Through the Veil of Stars,2/26/1936,romance,0,0,,99
15,Of Thorns and Kings,12/14/1961,mystery,0,0,,87
16,Frost on the Horizon,1/16/1911,romance,0,0,,84
17,The Edge of Forever,10/10/1975,romance,0,0,,24
18,When the Stars Fall,11/25/1997,romance,0,0,,41
19,The Serpent’s Song,2/7/1984,romance,0,0,,62
20,The Vanishing Point,11/16/1980,non-fiction,0,0,,8
21,The Mirror’s Reflection,6/3/1994,sci-fi,0,0,,54
22,A World Beyond the Waves,6/8/2017,mystery,0,0,,94
23,The Color of Distant Skies,4/28/1930,fiction,0,0,,69
24,The Watcher in the Dark,5/19/1996,sci-fi,0,0,,69
25,Kingdoms of Ash,6/9/2007,sci-fi,0,0,,83
26,Dancing with Shadows,8/27/1928,sci-fi,0,0,,23
27,"Through a Glass, Darkly",4/18/1943,mystery,0,0,,77
28,Beneath the Silver Moon,10/10/1936,mystery,0,0,,46
29,Tales of the Hollow Earth,3/10/2006,non-fiction,0,0,,56
30,The Last Ember,10/7/1995,mystery,0,0,,38
31,Whispers in the Wind,2/24/1941,romance,0,0,,51
32,The Fire and the Flame,12/19/1954,mystery,0,0,,59
33,The Secrets of the Sky,11/25/2016,romance,0,0,,9
34,The Thorn Queen’s Curse,5/1/1997,fiction,0,0,,68
35,A Tapestry of Lies,4/14/1968,fiction,0,0,,11
36,The Boundless Sea,8/22/1963,mystery,0,0,,46
37,Under the Midnight Sun,1/13/1957,non-fiction,0,0,,96
38,The Call of the Wanderer,1/24/1952,sci-fi,0,0,,30
39,The Ghost in the Garden,12/21/1917,sci-fi,0,0,,79
40,The Silent City,12/27/1929,mystery,0,0,,19
41,Beyond the Iron Gates,1/29/1917,sci-fi,0,0,,14
42,The Wolf and the Moon,9/15/1916,romance,0,0,,67
43,The Song of the Siren,8/6/1915,fiction,0,0,,10
44,The Queen’s Ransom,7/23/1916,mystery,0,0,,14
45,A Legacy of Stones,9/8/1950,sci-fi,0,0,,62
46,The Road to the Otherworld,6/7/1921,fiction,0,0,,37
47,Ravens in the Ashes,12/8/1918,fiction,0,0,,1
48,The Book of Forgotten Dreams,12/17/1962,romance,0,0,,50
49,The Windmill’s Song,11/20/1948,romance,0,0,,9
50,Voices from the Deep,9/3/1994,sci-fi,0,0,,36
51,The Edge of the World,12/26/1924,fiction,0,0,,32
